exercise,difficulty_level,target_muscle_group,primary_equipment,posture,single_or_double_arm,continuous_or_alternating_arms,grip,continuous_or_alternating_legs,foot_elevation,combination_exercises,movement_pattern,body_region,force_type,mechanics,laterality,primary_exercise_classification
Double Kettlebell Turkish Sit Up to Z Press,Intermediate,Abdominals,Kettlebell,Seated Floor,Double Arm,Continuous,Neutral,Continuous,No Elevation,Combo Exercise,Spinal Flexion,Midsection,Push,Compound,Bilateral,Bodybuilding
Double Kettlebell Bottoms Up Front Rack Alternating Cossack Squat,Intermediate,Quadriceps,Kettlebell,Standing,Double Arm,Continuous,Bottoms Up,Alternating,No Elevation,Single Exercise,Knee Dominant,Lower Body,Push,Compound,Unilateral,Bodybuilding
Double Kettlebell Swing,Intermediate,Glutes,Kettlebell,Standing,Double Arm,Continuous,Pronated,Continuous,No Elevation,Single Exercise,Hip Hinge,Full Body,Unsorted*,Compound,Bilateral,Ballistics
Double Kettlebell Front Rack Squat,Novice,Quadriceps,Kettlebell,Standing,Double Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Knee Dominant,Lower Body,Push,Compound,Bilateral,Bodybuilding
Single Arm Kettlebell Front Rack Squat,Novice,Quadriceps,Kettlebell,Standing,Single Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Knee Dominant,Lower Body,Push,Compound,Unilateral,Bodybuilding
Single Arm Kettlebell Front Rack Contralateral Split Squat,Novice,Quadriceps,Kettlebell,Split Squat,Single Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Knee Dominant,Lower Body,Push,Compound,Contralateral,Bodybuilding
Single Arm Kettlebell Front Rack Carry,Novice,Abdominals,Kettlebell,Walking,Single Arm,Continuous,Neutral,Alternating,No Elevation,Single Exercise,Loaded Carry,Full Body,Other,Compound,Unilateral,Unsorted*
Double Kettlebell Bottoms Up Overhead Alternating Cossack Squat,Advanced,Quadriceps,Kettlebell,Standing,Double Arm,Continuous,Bottoms Up,Alternating,No Elevation,Single Exercise,Knee Dominant,Lower Body,Push,Compound,Unilateral,Bodybuilding
Single Arm Kettlebell Squat Clean,Intermediate,Quadriceps,Kettlebell,Standing,Single Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Knee Dominant,Full Body,Unsorted*,Compound,Unilateral,Ballistics
Double Kettlebell Prone Row,Novice,Back,Kettlebell,Prone,Double Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Horizontal Pull,Upper Body,Pull,Compound,Bilateral,Bodybuilding
Single Arm Kettlebell Bottoms Up Front Rack Carry,Intermediate,Abdominals,Kettlebell,Walking,Single Arm,Continuous,Bottoms Up,Alternating,No Elevation,Single Exercise,Loaded Carry,Full Body,Other,Compound,Unilateral,Unsorted*
Double Kettlebell Bottoms Up Front Rack Carry,Intermediate,Abdominals,Kettlebell,Walking,Double Arm,Continuous,Bottoms Up,Alternating,No Elevation,Single Exercise,Loaded Carry,Full Body,Other,Compound,Bilateral,Unsorted*
Double Kettlebell Bottoms Up Overhead Walking Lunge,Intermediate,Quadriceps,Kettlebell,Walking,Double Arm,Continuous,Bottoms Up,Alternating,No Elevation,Single Exercise,Knee Dominant,Lower Body,Push,Compound,Unilateral,Bodybuilding
Single Arm Kettlebell Bottoms Up Front Rack Walking Lunge,Intermediate,Quadriceps,Kettlebell,Walking,Single Arm,Continuous,Bottoms Up,Alternating,No Elevation,Single Exercise,Knee Dominant,Lower Body,Push,Compound,Unilateral,Bodybuilding
Alternating Double Kettlebell Prone Row,Novice,Back,Kettlebell,Prone,Double Arm,Alternating,Neutral,Continuous,No Elevation,Single Exercise,Horizontal Pull,Upper Body,Pull,Compound,Unilateral,Bodybuilding
Double Kettlebell Single Leg Romanian Deadlift ,Intermediate,Hamstrings,Kettlebell,Single Leg Standing,Double Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Hip Hinge,Lower Body,Pull,Compound,Unilateral,Bodybuilding
Double Kettlebell Romanian Deadlift ,Beginner,Hamstrings,Kettlebell,Standing,Double Arm,Continuous,Pronated,Continuous,No Elevation,Single Exercise,Hip Hinge,Lower Body,Pull,Compound,Bilateral,Bodybuilding
Single Arm Kettlebell Contralateral Single Leg Romanian Deadlift,Intermediate,Hamstrings,Kettlebell,Single Leg Standing,Single Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Hip Hinge,Lower Body,Pull,Compound,Contralateral,Bodybuilding
Single Arm Kettlebell Bottoms Up Overhead Squat,Advanced,Quadriceps,Kettlebell,Standing,Single Arm,Continuous,Bottoms Up,Continuous,No Elevation,Single Exercise,Knee Dominant,Lower Body,Push,Compound,Unilateral,Bodybuilding
Single Arm Kettlebell Prone Row,Novice,Back,Kettlebell,Prone,Single Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Horizontal Pull,Upper Body,Pull,Compound,Unilateral,Bodybuilding
Parallette Tuck Planche,Advanced,Abdominals,Parallette Bars,Other,Double Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Isometric Hold,Midsection,Other,Compound,Bilateral,Calisthenics
Macebell Offset Bicep Curl,Novice,Biceps,Macebell,Standing,Double Arm,Continuous,Supinated,Continuous,No Elevation,Single Exercise,Elbow Flexion,Upper Body,Pull,Isolation,Bilateral,Bodybuilding
Double Kettlebell Bottoms Up Decline Bench Press,Novice,Chest,Kettlebell,Supine,Double Arm,Continuous,Bottoms Up,Continuous,No Elevation,Single Exercise,Horizontal Push,Upper Body,Push,Compound,Bilateral,Bodybuilding
Parallette L Sit to Tuck Planche,Expert,Abdominals,Parallette Bars,L Sit,Double Arm,Continuous,Neutral,Continuous,No Elevation,Combo Exercise,Isometric Hold,Midsection,Other,Compound,Bilateral,Calisthenics
Alternating Double Kettlebell Bottoms Up Decline Bench Press,Novice,Chest,Kettlebell,Supine,Double Arm,Alternating,Bottoms Up,Continuous,No Elevation,Single Exercise,Horizontal Push,Upper Body,Push,Compound,Unilateral,Bodybuilding
Landmine Standing Oblique Twist,Intermediate,Abdominals,Landmine,Standing,Double Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Rotational,Midsection,Other,Compound,Bilateral,Unsorted*
Cable Rope Tall Kneeling High to Low Chop,Intermediate,Abdominals,Cable,Tall Kneeling,Double Arm,Continuous,Pronated,Continuous,No Elevation,Single Exercise,Rotational,Midsection,Other,Compound,Bilateral,Unsorted*
Single Arm Parallette Plank,Intermediate,Abdominals,Parallette Bars,Prone,Single Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Anti-Rotational,Midsection,Other,Compound,Unilateral,Calisthenics
Single Arm Suspension Plank,Intermediate,Abdominals,Suspension Trainer,Prone,Single Arm,Continuous,Pronated,Continuous,No Elevation,Single Exercise,Anti-Rotational,Midsection,Other,Compound,Unilateral,Unsorted*
Battle Rope Russian Twist,Novice,Abdominals,Battle Ropes,Seated Floor,Double Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Rotational,Midsection,Other,Compound,Bilateral,Unsorted*
Bodyweight Bird Dog Knee to Elbow,Beginner,Abdominals,Bodyweight,Quadruped,Single Arm,Continuous,Flat Palm,Continuous,No Elevation,Single Exercise,Anti-Rotational,Midsection,Other,Compound,Contralateral,Unsorted*
Slam Ball Feet Elevated Russian Twist,Intermediate,Abdominals,Slam Ball,Seated Floor,Double Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Rotational,Midsection,Other,Compound,Bilateral,Unsorted*
Medicine Ball Feet Elevated Russian Twist,Novice,Abdominals,Medicine Ball,Seated Floor,Double Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Rotational,Midsection,Other,Compound,Bilateral,Unsorted*
Alternating Double Dumbbell Prone Row,Novice,Back,Dumbbell,Prone,Double Arm,Alternating,Neutral,Continuous,No Elevation,Single Exercise,Horizontal Pull,Upper Body,Pull,Compound,Unilateral,Bodybuilding
Bodyweight Forearm Plank Alternating Knee to Elbow,Intermediate,Abdominals,Bodyweight,Prone,Double Arm,Continuous,Forearm,Alternating,No Elevation,Single Exercise,Anti-Extension,Midsection,Other,Compound,Unilateral,Calisthenics
Bodyweight Loaded Beast to Alternating Kick Through,Intermediate,Abdominals,Bodyweight,Knee Hover Quadruped,Double Arm,Alternating,Flat Palm,Alternating,No Elevation,Single Exercise,Unsorted*,Midsection,Other,Compound,Unilateral,Animal Flow
Single Arm Dumbbell Prone Row,Novice,Back,Dumbbell,Prone,Single Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Horizontal Pull,Upper Body,Pull,Compound,Unilateral,Bodybuilding
Double Kettlebell Clean,Intermediate,Glutes,Kettlebell,Standing,Double Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Hip Hinge,Full Body,Unsorted*,Compound,Bilateral,Ballistics
Double Kettlebell Snatch,Intermediate,Glutes,Kettlebell,Standing,Double Arm,Continuous,Pronated,Continuous,No Elevation,Single Exercise,Hip Hinge,Full Body,Unsorted*,Compound,Bilateral,Ballistics
Battle Rope Feet Elevated Russian Twist,Intermediate,Abdominals,Battle Ropes,Seated Floor,Double Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Rotational,Midsection,Other,Compound,Bilateral,Unsorted*
Superband Dead Bug,Novice,Abdominals,Superband,Supine,Double Arm,Continuous,Pronated,Alternating,No Elevation,Single Exercise,Anti-Extension,Midsection,Other,Compound,Contralateral,Unsorted*
Parallette V Sit,Expert,Abdominals,Parallette Bars,V Sit Seated,Double Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Isometric Hold,Midsection,Other,Compound,Bilateral,Unsorted*
Single Arm Dumbbell Pendlay Row,Novice,Back,Dumbbell,Standing,Single Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Horizontal Pull,Upper Body,Pull,Compound,Unilateral,Bodybuilding
Single Arm Kettlebell Bottoms Up Decline Bench Press,Novice,Chest,Kettlebell,Supine,Single Arm,Continuous,Bottoms Up,Continuous,No Elevation,Single Exercise,Horizontal Push,Upper Body,Push,Compound,Unilateral,Bodybuilding
Double Kettlebell Split Jerk,Intermediate,Shoulders,Kettlebell,Staggered Stance,Double Arm,Continuous,Pronated,Continuous,No Elevation,Single Exercise,Vertical Push,Full Body,Push,Compound,Unilateral,Unsorted*
Double Kettlebell High Pull,Intermediate,Shoulders,Kettlebell,Standing,Double Arm,Continuous,Pronated,Continuous,No Elevation,Single Exercise,Horizontal Pull,Full Body,Pull,Compound,Bilateral,Ballistics
Superband Pallof Press,Beginner,Abdominals,Superband,Standing,Double Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Anti-Rotational,Midsection,Other,Isolation,Bilateral,Unsorted*
Superband Half Kneeling Pallof Press,Novice,Abdominals,Superband,Half Kneeling,Double Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Anti-Rotational,Midsection,Other,Isolation,Unilateral,Unsorted*
Superband Single Leg Standing Bent Knee Hip External Rotation,Novice,Glutes,Superband,Single Leg Standing Bent Knee,No Arms,Continuous,Hand Assisted,Continuous,No Elevation,Single Exercise,Hip External Rotation,Lower Body,Unsorted*,Isolation,Unilateral,Unsorted*
Macebell Reverse Grip Offset Bicep Curl,Novice,Forearms,Macebell,Standing,Double Arm,Continuous,Pronated,Continuous,No Elevation,Single Exercise,Elbow Flexion,Upper Body,Pull,Isolation,Bilateral,Bodybuilding
Ring Archer Row,Novice,Shoulders,Gymnastic Rings,Standing,Double Arm,Alternating,Neutral,Continuous,No Elevation,Single Exercise,Horizontal Pull,Upper Body,Pull,Compound,Unilateral,Unsorted*
Single Arm Landmine Row to Rotational Shoulder Press,Intermediate,Shoulders,Landmine,Standing,Single Arm,Continuous,Pronated,Continuous,No Elevation,Combo Exercise,Rotational,Full Body,Push & Pull,Compound,Unilateral,Bodybuilding
Bodyweight Hand Assisted Skater Squat,Novice,Quadriceps,Bodyweight,Single Leg Standing,Single Arm,Continuous,Hand Assisted,Continuous,No Elevation,Single Exercise,Knee Dominant,Lower Body,Push,Compound,Unilateral,Calisthenics
Superband Pull Through,Beginner,Glutes,Superband,Standing,Double Arm,Continuous,Pronated,Continuous,No Elevation,Single Exercise,Hip Hinge,Lower Body,Unsorted*,Compound,Bilateral,Bodybuilding
Miniband Quadruped Hip Extension,Beginner,Glutes,Miniband,Quadruped,No Arms,Continuous,Flat Palm,Continuous,No Elevation,Single Exercise,Hip Extension,Lower Body,Unsorted*,Isolation,Unilateral,Bodybuilding
Cable Hip Adduction,Novice,Adductors,Cable,Standing,No Arms,Continuous,Hand Assisted,Continuous,No Elevation,Single Exercise,Hip Adduction,Lower Body,Other,Isolation,Unilateral,Unsorted*
Superband Tall Kneeling Pallof Press,Novice,Abdominals,Superband,Tall Kneeling,Double Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Anti-Rotational,Midsection,Other,Isolation,Bilateral,Unsorted*
Slider Eccentric Hamstring Curl,Beginner,Hamstrings,Sliders,Supine,No Arms,Continuous,No Grip,Continuous,No Elevation,Single Exercise,Knee Dominant,Lower Body,Pull,Isolation,Bilateral,Unsorted*
Landmine Low Hold Lateral Lunge,Novice,Quadriceps,Landmine,Standing,Double Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Knee Dominant,Lower Body,Push,Compound,Unilateral,Unsorted*
Double Kettlebell Sumo Deadlift,Beginner,Back,Kettlebell,Standing,Double Arm,Continuous,Pronated,Continuous,No Elevation,Single Exercise,Hip Hinge,Full Body,Pull,Compound,Bilateral,Bodybuilding
Slider Kneeling Reach Push Up,Novice,Chest,Sliders,Kneeling,Single Arm,Continuous,Flat Palm,Continuous,No Elevation,Single Exercise,Horizontal Push,Upper Body,Push,Compound,Unilateral,Unsorted*
Slider Parallette Knee Tuck,Novice,Abdominals,Sliders,Prone,Double Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Spinal Flexion,Midsection,Other,Compound,Bilateral,Unsorted*
Superband Shoulder Dislocates,Novice,Shoulders,Superband,Standing,Double Arm,Continuous,Pronated,Continuous,No Elevation,Single Exercise,Unsorted*,Upper Body,Unsorted*,Compound,Bilateral,Mobility
Superband Alternating Shoulder Dislocates,Novice,Shoulders,Superband,Standing,Double Arm,Continuous,Pronated,Continuous,No Elevation,Single Exercise,Unsorted*,Upper Body,Unsorted*,Compound,Bilateral,Mobility
Superband Prone Shoulder Dislocates,Novice,Shoulders,Superband,Prone,Double Arm,Continuous,Pronated,Continuous,No Elevation,Single Exercise,Unsorted*,Upper Body,Unsorted*,Compound,Bilateral,Mobility
Ring L Sit,Advanced,Abdominals,Gymnastic Rings,Hanging,Double Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Isometric Hold,Midsection,Other,Compound,Bilateral,Calisthenics
Resistance Band Prone Shoulder Dislocates,Novice,Shoulders,Resistance Band,Prone,Double Arm,Continuous,Pronated,Continuous,No Elevation,Single Exercise,Unsorted*,Upper Body,Unsorted*,Compound,Bilateral,Mobility
Resistance Band Alternating Shoulder Dislocates,Novice,Shoulders,Resistance Band,Standing,Double Arm,Continuous,Pronated,Continuous,No Elevation,Single Exercise,Unsorted*,Upper Body,Unsorted*,Compound,Bilateral,Mobility
Cable Straight Bar Spider Curl,Novice,Biceps,Cable,Prone,Double Arm,Continuous,Supinated,Continuous,No Elevation,Single Exercise,Elbow Flexion,Upper Body,Pull,Isolation,Bilateral,Bodybuilding
Double Kettlebell Bottoms Up Front Rack Squat,Intermediate,Quadriceps,Kettlebell,Standing,Double Arm,Continuous,Bottoms Up,Continuous,No Elevation,Single Exercise,Knee Dominant,Lower Body,Push,Compound,Bilateral,Bodybuilding
Barbell Back Rack Cyclist Squat,Intermediate,Quadriceps,Barbell,Standing,Double Arm,Continuous,Pronated,Continuous,Heels Elevated,Single Exercise,Knee Dominant,Lower Body,Push,Compound,Bilateral,Bodybuilding
Gravity Boots Inverted Sit Up,Advanced,Abdominals,Bodyweight,Inverted,No Arms,Continuous,Head Supported,Continuous,No Elevation,Single Exercise,Spinal Flexion,Midsection,Other,Compound,Bilateral,Unsorted*
Double Kettlebell Front Rack Knee Over Toe Split Squat,Novice,Quadriceps,Kettlebell,Knee Over Toe Split Squat,Double Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Knee Dominant,Lower Body,Push,Compound,Unilateral,Bodybuilding
Double Kettlebell Overhead Knee Over Toe Split Squat,Intermediate,Quadriceps,Kettlebell,Knee Over Toe Split Squat,Double Arm,Continuous,Pronated,Continuous,No Elevation,Single Exercise,Knee Dominant,Lower Body,Push,Compound,Bilateral,Bodybuilding
Barbell Back Rack Step Up,Intermediate,Quadriceps,Barbell,Standing,Double Arm,Continuous,Pronated,Continuous,Foot Elevated (Front),Single Exercise,Knee Dominant,Lower Body,Push,Compound,Unilateral,Bodybuilding
Barbell Front Rack Step Up,Intermediate,Quadriceps,Barbell,Standing,Double Arm,Continuous,Pronated,Continuous,Foot Elevated (Front),Single Exercise,Knee Dominant,Lower Body,Push,Compound,Unilateral,Bodybuilding
Barbell Standing Rollout,Advanced,Abdominals,Barbell,Standing,Double Arm,Continuous,Pronated,Continuous,No Elevation,Single Exercise,Anti-Extension,Midsection,Other,Compound,Bilateral,Unsorted*
Stability Ball Cable Russian Twist,Novice,Abdominals,Stability Ball,Supine,Double Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Rotational,Midsection,Other,Compound,Bilateral,Unsorted*
Miniband Frog Pump,Beginner,Glutes,Miniband,Bridge,No Arms,Continuous,No Grip,Continuous,No Elevation,Single Exercise,Hip Extension,Lower Body,Unsorted*,Compound,Bilateral,Bodybuilding
Miniband Knee Hover Quadruped Fire Hydrant,Advanced,Glutes,Miniband,Knee Hover Quadruped,Double Arm,Continuous,Flat Palm,Continuous,No Elevation,Single Exercise,Hip External Rotation,Lower Body,Other,Isolation,Unilateral,Bodybuilding
Bodyweight Fire Hydrant,Beginner,Glutes,Bodyweight,Quadruped,Double Arm,Continuous,Flat Palm,Continuous,No Elevation,Single Exercise,Hip External Rotation,Lower Body,Other,Isolation,Unilateral,Unsorted*
Bodyweight Knee Hover Quadruped Fire Hydrant,Intermediate,Glutes,Bodyweight,Knee Hover Quadruped,Double Arm,Continuous,Flat Palm,Continuous,No Elevation,Single Exercise,Hip External Rotation,Lower Body,Other,Isolation,Unilateral,Unsorted*
Dumbbell Crush Grip Spider Curl,Novice,Biceps,Dumbbell,Prone,Double Arm,Continuous,Crush Grip,Continuous,No Elevation,Single Exercise,Elbow Flexion,Upper Body,Pull,Isolation,Bilateral,Bodybuilding
Alternating Double Dumbbell Spider Curl,Novice,Biceps,Dumbbell,Prone,Double Arm,Alternating,Supinated,Continuous,No Elevation,Single Exercise,Elbow Flexion,Upper Body,Pull,Isolation,Unilateral,Bodybuilding
Bodyweight Bent Knee Copenhagen Plank Side Raise,Intermediate,Adductors,Bodyweight,Side Plank,Single Arm,Continuous,Forearm,Continuous,Foot Elevated (Side),Single Exercise,Hip Adduction,Lower Body,Other,Compound,Unilateral,Unsorted*
Bodyweight Kneeling Side Plank,Beginner,Abdominals,Bodyweight,Side Plank,Single Arm,Continuous,Forearm,Continuous,No Elevation,Single Exercise,Anti-Lateral Flexion,Midsection,Other,Compound,Unilateral,Calisthenics
Bodyweight Wall Assisted Hip Airplane,Intermediate,Glutes,Bodyweight,Standing,Double Arm,Continuous,Hand Assisted,Continuous,No Elevation,Single Exercise,Rotational,Lower Body,Unsorted*,Compound,Unilateral,Unsorted*
Superband Single Leg Tibialis Raise,Beginner,Shins,Superband,Seated Floor,No Arms,Continuous,No Grip,Continuous,No Elevation,Single Exercise,Ankle Dorsiflexion,Lower Body,Unsorted*,Isolation,Unilateral,Unsorted*
Barbell Zercher Squat,Advanced,Quadriceps,Barbell,Standing,Double Arm,Continuous,No Grip,Continuous,No Elevation,Single Exercise,Knee Dominant,Lower Body,Push,Compound,Bilateral,Unsorted*
Barbell Squat Snatch,Expert,Quadriceps,Barbell,Standing,Double Arm,Continuous,Pronated,Continuous,No Elevation,Single Exercise,Knee Dominant,Full Body,Unsorted*,Compound,Bilateral,Olympic Weightlifting 
